Time,Open,High,Low,Close,Volume
1.72099E+12,60058.6,61412.4,59987.4,61260.1,26381.798
1.72099E+12,61260.1,61364.9,60725.9,60831.6,12086.257
1.721E+12,60831.6,61145,60673.6,60766,8747.978
1.721E+12,60766,61294.5,60622.6,61186.8,10490.273
1.72101E+12,61186.7,61788.7,61149,61373.1,19781.121
1.72101E+12,61373.1,62599,61272.6,62451.6,33496.318
1.72101E+12,62451.6,62777,62294,62617.3,15773.702
1.72102E+12,62617.3,62823.6,62400,62575,12113.108
1.72102E+12,62575,62950,62499.9,62769.1,12892.083
1.72102E+12,62769.2,62980.1,62672.5,62838.9,9683.356
1.72103E+12,62839,63075.8,62716.7,62816,10006.849
1.72103E+12,62816.1,63239.2,62766.6,62847.5,14072.8
1.72103E+12,62847.4,62880,62526.6,62609.3,14337.966
1.72104E+12,62610,62788.3,62373,62518.8,7532.278
1.72104E+12,62518.8,62586.8,62266,62431.9,8469.762
1.72104E+12,62432,62777.4,62419.5,62586.1,8396.623
1.72105E+12,62586.2,62962.5,62449.7,62877.7,15445.045
1.72105E+12,62877.6,63195.5,62700.4,63180.9,15376.077
1.72106E+12,63180.8,63299.8,62825.8,62985.9,17338.275
1.72106E+12,62986,63580,62812.8,63369.6,21641.121
1.72106E+12,63369.7,63698,63041.5,63045.1,18904.785
1.72107E+12,63045.2,63589,62951.6,63462,10651.978
1.72107E+12,63462,63777,63150,63309.9,19261.918
1.72107E+12,63309.9,63746.8,63216.2,63694.6,7349.88
1.72108E+12,63694.7,63757,63462.3,63499.2,4103.24
1.72108E+12,63499.2,64776.7,63463.8,64309,30916.281
1.72108E+12,64309,64870.7,64185.6,64680.6,14187.342
1.72109E+12,64680.6,64936.1,64405,64580.6,14090.426
1.72109E+12,64580.6,64832.9,64437.8,64811.9,6534.863
1.7211E+12,64811.9,64819.1,64507,64783.6,7048.083
1.7211E+12,64783.5,64840.7,64580,64725.1,5469.813
1.7211E+12,64725.1,64988.8,64439.4,64465.5,11864.183
1.72111E+12,64465.6,64532.9,63444,63632,29398.119
1.72111E+12,63631.9,63861,62764.1,62880.2,23507.472
1.72111E+12,62880.2,63303.6,62672.4,62881.8,21535.725
1.72112E+12,62881.8,63064,62350,62799.2,20345.668
1.72112E+12,62799.1,63225,62651.2,63152.2,15051.708
1.72112E+12,63152.2,63642.5,63054.3,63404.3,15498.608
1.72113E+12,63404.3,63839,63104.2,63719.8,15962.765
1.72113E+12,63719.8,64258.6,63565.5,63714.1,18514.222
1.72113E+12,63714.1,64066.8,63361.1,63391.1,16642.453
1.72114E+12,63390.5,63879,63031.5,63806.3,20485.862
1.72114E+12,63806.3,64942,63764.8,64833.9,29906.506
1.72115E+12,64833.9,65177,64169.5,64469.6,32590.539
1.72115E+12,64469.7,64614,64070.4,64509.9,9512.217
1.72115E+12,64509.9,64873.5,64363.7,64759.2,8437.511
1.72116E+12,64759.2,65150,64545.1,65125.2,13125.747
1.72116E+12,65125.2,65149,64578.4,64626.3,8187.547
1.72116E+12,64626.4,64811.5,64440.1,64464.5,5461.46
1.72117E+12,64464.4,64585.5,64058,64575.7,9685.597
1.72117E+12,64575.7,65388,64574.4,65010,16401.522
1.72117E+12,65010,65584.3,64885.3,65470.7,14770.207
1.72118E+12,65470.7,66100,65399.1,65632.9,22688.209
1.72118E+12,65632.9,65868.1,65500,65584,9859.905
1.72119E+12,65584.1,65766.2,65348,65662.8,7197.844
1.72119E+12,65662.8,65829.9,65507.3,65803.3,6417.453
1.72119E+12,65803.4,65968.5,65568.5,65587.3,8191.209
1.7212E+12,65587.3,65766.1,65438.4,65540.4,5875.417
1.7212E+12,65540.3,65551.7,65167.6,65226.2,9935.672
1.7212E+12,65226.2,65448,64769.6,65145.4,17609.764
1.72121E+12,65145.4,65479.5,65051.5,65299.9,7268.215
1.72121E+12,65300,65330.6,65068.5,65097.7,5541.204
1.72121E+12,65097.7,65125.6,64531,64700,18009.804
1.72122E+12,64699.9,64981.2,64543.9,64704.1,11266.696
1.72122E+12,64704.2,65300,64489.5,65102.1,21337.617
1.72122E+12,65102.1,65204.7,64627.2,64997.1,16722.05
1.72123E+12,64997.2,65379.8,64591.6,64695.8,15015.516
1.72123E+12,64696,64745.6,63823,64221.3,34981.707
1.72124E+12,64221.3,64393.6,63900.1,64255.2,11437.038
1.72124E+12,64255.2,64540.9,64183.4,64478,5253.488
1.72124E+12,64477.9,64722.8,64414.3,64550.6,6184.224
1.72125E+12,64550.7,64654.4,64464.3,64480.6,3279.274
1.72125E+12,64480.6,64537.3,64020,64276.5,9010.705
1.72125E+12,64276.6,64417.6,64074.6,64232,4653.073
1.72126E+12,64232.1,64345.2,64050,64055.7,4150.102
1.72126E+12,64055.8,64499.9,63871.2,64407,9226.444
1.72126E+12,64406.9,64645.8,64330,64640.1,5356.008
1.72127E+12,64640,65173.8,64210,64661.7,15875.098
1.72127E+12,64661.7,64929,64585.2,64827.8,4962.72
1.72128E+12,64827.9,64849.5,64502.2,64544.9,4638.613
1.72128E+12,64544.9,64835,64355.1,64719.4,5845.067
1.72128E+12,64719.5,65038.5,64676,64965.4,6319.163
1.72129E+12,64965.4,65005.7,64623,64644.8,5297.95
1.72129E+12,64644.8,64930.7,64604.2,64911.7,4912.952
1.72129E+12,64911.7,64918.3,64690.5,64831.7,3986.983
1.7213E+12,64831.6,64831.7,64464.8,64591.3,6150.472
1.7213E+12,64591.4,64733.7,64413,64728.9,5605.368
1.7213E+12,64729,64996.4,64695,64811.2,8973.522
1.72131E+12,64811.2,65098.9,64468.6,64568.2,12845.135
1.72131E+12,64568.3,64680,63668.3,63957.2,28358.896
1.72131E+12,63957.2,63965.6,63359.1,63500.1,29163.939
1.72132E+12,63500.1,63878.3,63272,63878.3,14865.57
1.72132E+12,63878.3,63933.3,63464.5,63529.9,7950.057
1.72133E+12,63529.9,63640,63300,63495.1,7404.582
1.72133E+12,63495,63725.5,63206.4,63535.6,9902.594
1.72133E+12,63535.5,63828,63413.1,63792.4,5172.105
1.72134E+12,63792.5,63880,63717.9,63817.1,3431.6
1.72134E+12,63817,64096.3,63681,64003.6,6886.462
1.72134E+12,64003.5,64059.8,63914.4,63959.9,2516.857
1.72135E+12,63960,63999.1,63519,63576.9,7501.007
1.72135E+12,63577,63839,63266.2,63791.1,8292.584
1.72135E+12,63791.2,63919,63611.5,63806,4530.626
1.72136E+12,63805.9,64348.2,63790.4,64298,10447.11
1.72136E+12,64297.9,64358,64111,64111,4717.432
1.72137E+12,64111,64227.8,64057.6,64143.2,3679.405
1.72137E+12,64143.1,64469.3,64111,64184.9,6738.862
1.72137E+12,64184.8,64184.8,63565,63673.9,13053.16
1.72138E+12,63673.9,63946.8,63371.4,63783.9,13139.166
1.72138E+12,63783.8,64100,63613.3,63672,9833.569
